brand,name,city,state,lat,lng,geo_precision,platform,platform_key,platform_loc,ring_status,nearest_pool,nearest_mi,n_pools_in_ring,enrolled_estimate,capacity_observed,utilization_pct,evidence,kind,per_lesson,monthly_price,price_method
Aqua-Tots,Aqua-Tots Swim School - Hoover,Hoover,AL,33.3884453,-86.8081469,,pike13,hoover,,prospective,Sandy Plains,141.98,0,381,604,63.1,observed_published_capacity,published,32.5,140.72,pike13_single_visit_list
Aqua-Tots,Aqua-Tots Swim School - Surprise,Surprise,AZ,33.6371843,-112.359762,,pike13,surprise,,prospective,Gilbert,36.68,0,689,988,69.7,observed_published_capacity,published,30.0,129.9,pike13_single_visit_list
Aqua-Tots,Aqua-Tots Swim School - Glendale,Glendale,AZ,33.6467173,-112.2349554,,pike13,glendale,,prospective,Gilbert,31.04,0,753,972,77.5,observed_published_capacity,published,28.0,121.24,pike13_single_visit_list
Aqua-Tots,Aqua-Tots Swim School - Ahwatukee,Phoenix,AZ,33.3176367,-111.9832843,,pike13,ahwatukee,,prospective,Gilbert,10.87,0,618,780,79.2,observed_published_capacity,published,30.0,129.9,pike13_single_visit_list
Aqua-Tots,Aqua-Tots Swim School - North Phoenix,Phoenix,AZ,33.6988861,-112.1012447,,pike13,north-phoenix,,prospective,Gilbert,28.15,0,753,1058,71.2,observed_published_capacity,published,27.0,116.91,pike13_single_visit_list
Aqua-Tots,Aqua-Tots Swim School - Central Phoenix,Phoenix,AZ,33.5516602,-112.0603478,,pike13,central-phoenix,,prospective,Gilbert,19.09,0,459,716,64.1,observed_published_capacity,published,28.0,121.24,pike13_single_visit_list
Aqua-Tots,Aqua-Tots Swim School - Old Town Scottsdale,Scottsdale,AZ,33.4963273,-111.9179919,,pike13,old-town-scottsdale,,prospective,Gilbert,10.62,0,498,748,66.6,observed_published_capacity,published,32.0,138.56,pike13_single_visit_list
Aqua-Tots,Aqua-Tots Swim School - Queen Creek,Queen Creek,AZ,33.2544336,-111.6363545,,pike13,queen-creek,,prospective,Gilbert,12.85,0,478,696,68.7,observed_published_capacity,published,29.0,125.57,pike13_single_visit_list
Aqua-Tots,Aqua-Tots Swim School - Paradise Valley,Paradise Valley,AZ,33.6022634,-111.9788077,,pike13,paradise-valley,,prospective,Gilbert,18.65,0,794,1156,68.7,observed_published_capacity,published,32.0,138.56,pike13_single_visit_list
Aqua-Tots,Aqua-Tots Swim School - Gilbert,Gilbert,AZ,33.3077553,-111.7731137,,pike13,gilbert,,in_ring,Gilbert,4.95,1,376,540,69.6,observed_published_capacity,published,35.0,151.55,pike13_single_visit_list
Aqua-Tots,Aqua-Tots Swim School - Chandler,Chandler,AZ,33.2462265,-111.8449145,,pike13,chandler,,in_ring,Gilbert,9.06,1,350,468,74.8,observed_published_capacity,published,22.25,96.34,pike13_single_visit_list
Aqua-Tots,Aqua-Tots Swim School - Mesa,Mesa,AZ,33.395247,-111.73998117,,pike13,mesa,,in_ring,Gilbert,4.16,1,762,972,78.4,observed_published_capacity,published,35.0,151.55,pike13_single_visit_list
Aqua-Tots,Aqua-Tots Swim School - San Dimas,San Dimas,CA,34.1036674,-117.8188952,,pike13,san-dimas,,prospective,Lakewood,25.15,0,596,912,65.4,observed_published_capacity,published,45.0,194.85,pike13_single_visit_list
